Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,1,0,24,17.0,0.017441090373519423,0.004326157736952436,24.80439952034641
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,2,24,48,23.0,0.024269659858913047,0.00529014789362687,21.797371386249814
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,3,48,72,78.0,0.07535116918805168,0.008743312442159847,11.603419743016092
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,4,72,96,396.0,0.31016731008200404,0.01609301852480378,5.188496015440506
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,5,96,120,862.0,0.6118332545329503,0.021529260817561662,3.5188118099262615
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,6,120,144,1101.0,0.8001566225391452,0.024777502411059516,3.0965815582995257
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,7,144,168,1123.0,0.8252421336491172,0.02535783397006911,3.0727749997373435
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,8,168,192,1187.0,0.8856589610388945,0.0264389972462729,2.985234543921902
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,9,192,216,1123.0,0.8181409548226635,0.025098405804050653,3.0677361469443696
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,10,216,240,970.0,0.6982151684338742,0.023073785164196198,3.3046811652562145
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,11,240,264,829.0,0.5883337493391234,0.021029256245840625,3.574375304742051
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,12,264,288,376.0,0.29026238940047033,0.015369900412208367,5.295174632839793
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,13,288,312,57.0,0.05334245338491807,0.007223886332718579,13.542471098191081
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,14,312,336,28.0,0.029365196923047027,0.0056105316540898415,19.106058334267335
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,15,336,360,15.0,0.013901862823958153,0.0036373466065660943,26.16445473981785
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,1,0,24,1.0,0.0018100877552893104,0.0018100877552893104,100.0
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,2,24,48,2.0,0.002324845567710428,0.0016528622227561548,71.09557063542672
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,3,48,72,5.0,0.0047435839405231195,0.0021779857645717444,45.91435066566056
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,4,72,96,112.0,0.06326269956771031,0.006284231378790599,9.93354918732888
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,5,96,120,607.0,0.30868134085945353,0.012762942776088327,4.134666106008479
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,6,120,144,1026.0,0.5530435912737077,0.017465253728113247,3.1580247929262213
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,7,144,168,1114.0,0.6328574176856296,0.019172536619689953,3.0295191434753574
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,8,168,192,1117.0,0.6438289590755094,0.019487050020363245,3.0267433214475474
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,9,192,216,1016.0,0.5708334707634022,0.018120305192939334,3.1743592695617875
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,10,216,240,884.0,0.47919860035393663,0.016335904309126563,3.409005013174255
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,11,240,264,547.0,0.27864854874952266,0.012129725040390324,4.353055163870148
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,12,264,288,102.0,0.055318991350446683,0.0056800444498770935,10.267801908921156
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,13,288,312,2.0,0.0018612798806205118,0.0013163267147434502,70.72158939925866
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,14,312,336,4.0,0.004267316065487548,0.002154486341823864,50.48808920549715
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,15,336,360,0.0,0.0,0.0,0.0
