Physics_Setting,Beam_Energy_loweps,Beam_Energy_higheps,epsilon_low,epsilon_high,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,theta_cm,data_avg_Q2,data_avg_Q2_err,data_avg_W,data_avg_W_err,simc_avg_Q2,simc_avg_Q2_err,simc_avg_W,simc_avg_W_err
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29155941524406215,0.7792409257257834,5,2,0.236,0.272,0.254,15,180.0,9.041512476225341,3.7749346327146958,0.0019298531788201484,2.6349631108891653,0.0004902697868372645,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29155251225851375,0.7792385521376687,5,2,0.236,0.272,0.254,15,180.0,9.040962863916151,3.775000688448155,0.0019286536556319103,2.634958272224559,0.0004899393155036017,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915512697624979,0.779238200527306,5,2,0.236,0.272,0.254,15,180.0,9.041422677782714,3.7749605670229545,0.0019286946740290469,2.6349682575942035,0.0004899158589043914,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915512051805595,0.7792382498200269,5,2,0.236,0.272,0.254,15,180.0,9.041945772238353,3.7749120095807718,0.0019290630281039284,2.6349784767051787,0.0004900474056446903,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.291549964066312,0.7792378986958025,5,2,0.236,0.272,0.254,15,180.0,9.042405701786242,3.774871867347172,0.0019291040726266337,2.6349884645453723,0.0004900239335178526,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29346512916954154,0.7797693340533258,5,3,0.272,0.308,0.29,15,180.0,10.929041451517625,3.843899398965449,0.0023578928481080303,2.6180387927412156,0.0005902527125023919,3.9317513510519517,0.00048462646013884206,2.5972112228107487,0.0001243483054683095
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29348004815724754,0.7797711565674872,5,3,0.272,0.31,0.291,15,180.0,10.975340635044322,3.8460334055355276,0.0023000399009489845,2.6175708320509763,0.0005755596190551845,3.9333824508207256,0.0004741694001811866,2.5968151279602965,0.00012199841999744566
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29486912665514153,0.7801707927469836,5,4,0.308,0.354,0.331,15,180.0,13.033457414307017,3.8862418731587502,0.0024976198653117233,2.607281392335315,0.0006254894685835874,3.982243986064105,0.0005115669178275306,2.584538819929688,0.00013051785872634833
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2949791384166627,0.7802065909859929,5,4,0.31,0.358,0.334,15,180.0,13.196135419688629,3.8865603802195854,0.0024785639558608957,2.6070694925008224,0.0006203008335214997,3.984416235205054,0.000506142827215579,2.5839528608423357,0.0001290620774463232
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29531020200901437,0.7802547107406149,5,5,0.354,0.5,0.427,15,180.0,17.3617035624712,3.9286576284200536,0.002306574125626784,2.5977325449397384,0.0005748338387066967,4.031499607028144,0.0004561368900774002,2.573056212059152,0.0001161191014694844
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29532750218896925,0.7802563043089517,5,5,0.358,0.5,0.429,15,180.0,17.4288211882563,3.9314937164779753,0.0023584544645264324,2.5971088928382007,0.0005880034723291214,4.03363098339691,0.000469443402141011,2.572575548387276,0.00011955739173314922
